"project_id","item_key","text","cluster"
"Batik - Now in Jira",53268,"WMFPainter doesn't paint 4-bit bitmaps",1
"POI",58607,"DateTime formatting",1
"Lenya",32543,"remove lenya:dummy namespace workaround",1
"POI",58562,"Problems with protect record",1
"Ant",50827,"scp, sshexec and verbosity",1
"Slide",35213,"Patch:  Httpclient 3.0 support",1
"Log4j - Now in Jira",46426,"Implement commons-logging interfaces natively in log4j",1
"POI",55869,"createToc - detecting Page",1
"Apache httpd-2",53002,"<Location> and auth_form (trailing slash problem?)",1
"Lenya",43123,"Proxy transformer performance overhead",1
"Tomcat Modules",56805,"datasource.getConnection() may be unnecessarily blocked by the PoolCleaner thread",1
"Apache httpd-2",59395,"Wrong timezone",1
"Ant",43852,"No encoding support for <junitreport>",1
"POI",57332,"FormulaEvaluator with external references",1
"Apache httpd-2",58799,"mod_fcgid: FcgidMinProcessesPerClass doesn't seem to work",1
"Apache httpd-2",50112,"buildconf broken in two places",1
"POI",58927,"ColumnHelper.setColumnAttributes does not copy the ""collapsed"" field.",1
"Apache httpd-2",46442,"Semicolon in allow/deny all rules cause reverse lookups",1
"Batik - Now in Jira",43246,"Event object dispatched when zooming doesn't implement SVGZoomEvent",1
"POI",59834,"poi-ooxml pom.xml should include dependency on poi-scratchpad",1
"Apache httpd-2",54824,"Spec file is missing libuuid-devel requirement",1
"POI",59442,"CellUtil.setCellStyleProperties erases foreground and background fill colors",1
"Apache httpd-2",58171,"ap_session_save saves the wrong session after a decode error",1
"Batik - Now in Jira",42211,"pattern SMIL animation doesn't work",1
"Slide",34019,"docs/installation.html implies that running ant with no specific target creates the war file",1
"Apache httpd-2",54363,"make time conversion caching functions thread-safe in util_time.c and mod_log_config.c",1
"Apache httpd-2",54518,"mod_rewrite not adding Vary header",1
"Apache httpd-2",50151,"Software caused connection abort and apache process in ""W"" Sending Reply mode freezes",1
"Ant",35653,"PropertySet defined as a nested element in antcall does not work as <param> entries",1
"Apache httpd-2",41646,"wrong headers are sent for HEAD requests when ProxyErrorOverride enabled",1
"Batik - Now in Jira",51373,"Rasterizer does not consider text-transform css property with value 'uppercase'",1
"Apache httpd-2",49642,"mod_rewrite mistakes encoded question mark as path/query string separator",1
"Ant",48746,"exec task sometimes inserts extraneous newlines",1
"Tomcat Modules",49686,"Using an instance lock to protect static shared data in class SocketConnector",1
"Apache httpd-2",53646,"Invalid uniformly distributed balancing of requests when loadfactor of balancer members is equal",1
"Batik - Now in Jira",47257,"The class RhinoClassShutter disables instantiation of  org.mozilla.javascript.EcmaError preventing handling of certain Javascript errors",1
"Ant",41737,"sqltask: Semicolon in c-style multiline comments fails",1
"Apache httpd-2",47591,"show current HTTP_HOST in mod_status scoreboard",1
"Batik - Now in Jira",49742,"NPE in EventListenerList (Concurrency)",1
"Apache httpd-2",51695,"Code clean up (ap_rputs merge)",1
"Tomcat 6",53031,"Ant Jasper task should support Fork option",1
"POI",46136,"Add an ignore warning for cells with Numbers as Text",1
"JMeter",60144,"View Results Tree : Add a more up to date Browser Renderer to replace old Render",1
"Ant",43368,"ClearCase lsco fileset selector",1
"Tomcat 7",50234,"JspC use servlet 3.0 features",1
"Apache httpd-2",49633,"Handle AD primary groups in mod_authnz_ldap",1
"Ant",43271,"scp task should support setting permissions",1
"POI",58149,"Support Office 2010 extensions to Conditional Formatting",1
"Apache httpd-2",55898,"[RFE] listen on unix socket?",1
"Tomcat 7",55470,"Help users for ClassNotFoundExceptions during startup [PATCH]",1
"Ant",46087,"Aggregating filesets is *functionally* possible and would be very useful for large projects",1
"Fop - Now in Jira",48255,"[PATCH] Revisited implementation of PDFRectangle and PDFLink (derived from new PDFAnnotation dictionary)",1
"Ant",49776,"Enable conditional dependencies",1
"Tomcat 9",60152,"Allow exceptions from Connector.start() to be caught and handled in code that embeds Tomcat",1
"POI",48404,"Support formulas with multi-sheet 3D references",1
"JMeter",58810,"Config Element Counter:  Check Boxes Toggle Area Too Big",1
"Ant",42044,"Multiple/composite logs for ant builds",1
"Log4j - Now in Jira",48583,"allow format of timestamp (first column of log file) to be parameterised",1
"JMeter",53170,"Add a FormFiller to process Forms with dynamic field names and list items",1
"Apache httpd-2",58855,"Don't read through entire string when testing for emptiness",1
"JMeter",55258,"Drop ""New"" icon from toolbar",1
"Ant",35557,"Feature Request: XSLT pipe line task",1
"POI",56885,"To change text in a XWPFSDTContent object",1
"Ant",39049,"Java task: add attribute to <sysproperty> which takes a property file and passed properties to the Java command",1
"Xerces-J",3537,"Regex package incorrectly matches \d{1,4}\.\d{2} to 12345.99",1
"Apache httpd-2",23238,"non-async-signal-safe operations from signal handlers",1
"Xerces-J",3914,"Encoding declaration ignored when doc saved with UTF-8 BOM",1
"Xerces-J",4960,"cloneNode(Document) is broken again in 1.4.4",1
"Xerces-J",9215,"XML that contains a large amount of CDATA Sections in parsed incorrectly",1
"Xerces-J",3662,"Xerces always trims attribute values regardless of datatype defined in schema",1
"Fop - Now in Jira",48758,"Empty ps with openjdk",1
"Xerces-J",10256,"Problem with schema validation",1
"Fop - Now in Jira",44826,"last-page master reference interfered with span all block",1
"Slide",19791,"AccessDeniedException is thrown in structure.create()",1
"Log4j - Now in Jira",54975,"File size is not reset if delete a content of the log file",1
"Xerces-J",3277,"StackOverflowError at org.apache.xerces.validators.common.Grammar.buildSyntaxTree(Grammar.java:856) or OutOfMemoryError building Syntax tree from large Schema-file(s)",1
"Apache httpd-2",43513,"Persistent backend connections for ProxyPassMatch",1
"Fop - Now in Jira",32970,"incorrect elision of word space in czech text",1
"Fop - Now in Jira",39184,"soft page break on new line",1
"Fop - Now in Jira",49479,"Option to make PDF binary equal between runs (for Apache Forrest)",1
"Apache httpd-2",12033,"Graceful restart immediately result in [warn] long lost child came home!",1
"XmlCommons - Now in JIRA",4989,"NPE in TransformerFactory.newInstance() when jaxp.properties is present.",1
"Apache httpd-2",37196,"Wrong ""Parent directory"" link",1
"Batik - Now in Jira",46103,"Review various possible bugs detected by Jtest",1
"Xerces-J",15098,"Enhancement to javadoc for XMLSerializer's Writer-using constructor",1
"Ant",28990,"Extend <java> task to provide <apply>-like features",1
"Apache httpd-2",27257,"rotatelogs with getopt and setuid",1
"Ant",23396,"New optional task ejbclientjar added",1
"Fop - Now in Jira",46348,"Add configuration option to encode TTF fonts as single byte fonts",1
"Ant",26947,"ant.bat should detect if ANT_HOME ends in a backslash",1
"POI",57598,"No way to associate shape with its textbox text range",1
"Batik - Now in Jira",42398,"Suggestion for clarification in UpdateManager.interrupt comment",1
"POI",53611,"Incorret dimension set in created workbook sheet xml file",2
"Apache httpd-2",59886,"httpoxy: shouldn't suexec block the questonable HTTP_ variables",2
"Apache httpd-2",51747,"mod_fcgid loads entire request into memory while passing to FCGI backend",2
"Apache httpd-2",56413,"can not restart httpd on centos 5.10 64bit",2
"Apache httpd-2",55540,"mod_proxy gzip chunked issue (sample site provided to reproduce the problem)",2
"Apache httpd-2",45275,"Locked files during expired page renew in disk cache",2
"Ant",51000,"<depend> may leave orphaned nested classes -> NPE in javac.jvm.ClassReader.findMethod",2
"POI",53264,"unable to create record instance..Not enough data (0) to read requested (6) bytes",2
"Apache httpd-2",54962,"Apache will set incorrect Content-Length header and may serve partial files",2
"Apache httpd-2",57229,"mod_sed dies on long lines",2
"Apache httpd-2",48777,"proxy balancer not detecting correctly when host (BalancerMember) is down",2
"Tomcat 9",59649,"org.apache.coyote.http11.Http11Processor.service Error parsing HTTP request header",2
"Apache httpd-2",47895,"Incorrect 413 error handling",2
"Apache httpd-2",54126,"Mod_rewrite failing because of url in query string parameter",2
"POI",59733,"shiftRows()  causes org.apache.xmlbeans.impl.values.XmlValueDisconnectedException",2
"Lenya",54428,"Configure variable properties from Maven",2
"Ant",57551,"Add support for JUnit @Category annotation",2
"Apache httpd-2",59086,"Brackets in DocumentRoot and Directory not supported",2
"Apache httpd-2",41485,"LDAP client certificates not usable in 2.2.x/trunk",2
"Log4j - Now in Jira",39691,"DBAppender doesn't log long events",2
"Fop - Now in Jira",19228,"[PATCH] Child LayoutContext is null in certain circumstances",2
"Batik - Now in Jira",41993,"keyboard navigation",2
"Apache httpd-2",49123,"mod_proxy_ajp does not send the client's SSL chain certificates",2
"Apache httpd-2",46475,"build warnings.",2
"Apache httpd-2",58892,"Remove 'advanced' rewrite doc, and organize by topic",2
"Apache httpd-2",54498,"apache crash on any cgi request with certain http accept header",2
"Tomcat Modules",50571,"Tomcat 7 JDBC connection pool exception enhancement",2
"Apache httpd-2",55708,"Access violation in msvcrt.dll when calling getenv(""PATH"") under load running on Windows Server",2
"POI",60029,"Problem with Days360 method for the month of february",2
"Apache httpd-2",58307,"Segmentation fault in child in ""read(__nbytes, __buf, __fd) at /usr/include/x86_64-linux-gnu/bits/unistd.h:44""",2
"Apache httpd-2",57745,"httpd exits 1 with no stderr when proxy_balancer_module is enabled",2
"Apache httpd-2",57131,"OCSP Stapling scalability concern",2
"APR",52528,"apr_dbd_get_driver doesn't clean up nice when failing to load a module",2
"Apache httpd-2",57819,"Need a conventions document",2
"Apache httpd-2",51103,"mod_reqtimeout does not drop connection and return 408",2
"APR",54554,"apr_pool_cleanup_null loop",2
"Apache httpd-2",57069,"apache ssl timeout during chunked request in reverse balanced proxy setup",2
"Fop - Now in Jira",54103,"column-gap doesn't work when specified as a percentage.",2
"Apache httpd-2",54914,"mod_dir DirectoryIndex breaks WebDAV PROPFIND / DELETE / MOVE",2
"Apache httpd-2",46650,"CustomLog enviroment condition SCRIPT_FILENAME",2
"Fop - Now in Jira",47927,"[PATCH] Automatic text overprint patch",2
"Lenya",41425,"move core functionality from default pub into core",2
"Apache httpd-2",54816,"AH00566: request failed: invalid characters in URI",2
"Apache httpd-2",58593,"mod_proxy wrong decision between http and ws",2
"Slide",37816,"Rename causes creation of a folder using WCK's WebdavFileStore",2
"Apache httpd-2",55093,"[PATCH] mod_fcgid 2.3.7 truncates large posts on RHEL/CentOS 5 with keepalives",2
"Apache httpd-2",60129,"Memory consumption by parent process is growing constantly when using MaxConnectionsPerChild",2
"POI",53320,"FormulaShifter doesn't take care to absolute references",2
"POI",58869,"when use setCellFormula  change the cells with shared fomulas",2
"Log4j - Now in Jira",57881,"Additional step required to build project",2
"Apache httpd-2",54136,"balancer-handler shows xml not, when only xml paramter is given",2
"Batik - Now in Jira",46434,"Drop Java 1.4 support",2
"Apache httpd-2",54102,"new feature: automatic route detection",2
"Batik - Now in Jira",50739,"16 bits per pixel output?",2
"Apache httpd-2",56500,"vhosts priority order with wildcard",2
"Apache httpd-2",59870,"mime.types update",2
"POI",59268,"Work on providing an updated version of XMLBeans",2
"Ant",60027,"Add <arg part1 part 2> options so arg tag can flow over many lines.",2
"Log4j - Now in Jira",47208,"Better Default colours for Log Panel Color Filter",2
"Ant",57243,"Deterministic (reproducible) output (without total time)",2
"Apache httpd-2",58181,"mod_expire should allow ""minus"" keyword same like ""plus""",2
"Ant",35464,"Add a dry run mode",2
"Tomcat 7",51953,"Proposal: netmask filtering valve and filter [PATCH]",2
"Apache httpd-2",40859,"[PATCH] Support -F force option to 'ab' support tool",2
"Apache httpd-2",34405,"adds DOCUMENT_NAME_WITHOUT_SUFFIX to mod_include",2
"Ant",45696,"Slow classpath building with referenced paths.",2
"Apache httpd-2",44657,"prefer-type, -encoding, and -charset cookie? (as prefer-language)",2
"Apache httpd-2",49433,"improving info in server status",2
"Apache httpd-2",43785,"Tracking the per-hit impact of mod_include",2
"Tomcat 7",57367,"If JAR scan experiences a stack overflow, give the URL from which each class in the loop was loaded in the complaint",2
"Xerces-J",2911,"SAXParser causes a null pointer exception when using external DTD declaration using entities in DOCTYPE? ",2
"Apache httpd-2",29165,"Parent directory icon not correct",2
"Batik - Now in Jira",35629,"Script events don't trigger on <defs> elements",2
"Fop - Now in Jira",30006,"eps doesn't show up in recent GhostScript versions",2
"Fop - Now in Jira",42685,"Printer restarts after sucessfull printing Postscript",2
"Log4j - Now in Jira",29244,"Preserve XML content in log messages when using XMLLayout and XMLSocketReceiver",2
"Xerces-J",4272,"Validation checks for components that were omitted in a derivation by restriction",2
"Lenya",29965,"missing i18n support for lucene search form",2
"Fop - Now in Jira",47293,"FOP cannot handle background images in <fo:block> when creating RTF.",2
"Fop - Now in Jira",45104,"Possible Thread Safety Problem in FOP 0.93",2
"Ant",12267,"Add ability to unzip into separate folders",2
"Ant",17781,"name attribute of record task is not relative to basedir",2
"Lenya",28493,"Feature to translate a page while editing content",2
"Ant",18391,"RFE : ignoreMissingBuildFiles option for subant",2
"Ant",32142,"[PROPOSAL, PATCH] External public entity and new system entity IDs.",2
"Ant",29997,"Implement wish list of functionality for <record/> task",2
"Ant",43546,"JUnit Test Filtering, junit task extension",2
"Ant",26849,"[PATCH] Pathconvert output in xml format and write to file",2
"Ant",24231,"command-line option to signify no more options",2
"Ant",21065,"new core task - MergeJavaDocs",2
"Ant",15949,"please provide links to docs.xml and jakarta-site2",2
"APR",50146,"cross compiling apr error: redefinition of 'struct iovec'",3
"Slide",34679,"URL encoding/decoding or accentuaed ressources broken",3
"Ant",33031,"Building ejb for Websphere 5.1.1",3
"Ant",55131,"PropertyHelper.replaceProperties method ignores the keys parameter",3
"Apache httpd-2",39216,"mod_disk_cache trying to rename locked file, decreasing performance",3
"Apache httpd-2",55786,"SSLVerifyClient and OptRenegotiate result in a 403 Forbidden error",3
"Apache httpd-2",46316,"Proxied SSI ProxyTimeout render failure",3
"Apache httpd-2",53253,"TCP_NOPUSH used with sendfile(2), cause transfers to freeze for a few seconds",3
"POI",58221,"Shifting rows while trying to sort causes XmlValueDisconnectedException",3
"Apache httpd-2",49114,"NTFS junction directories missing from directory listing",3
"Ant",47914,"< and > not quoted by quoteArgument causes failure on Windows",3
"POI",60160,"ArrayIndexOutOfBoundsException coming when trying to extract text from doc file.",3
"Ant",41292,"javadoc task: sourcepath for JDK sources broken",3
"Slide",39830,"PostgresRDBMSAdapter is not compatible with Postgres 8.1",3
"Log4j - Now in Jira",53557,"Configure java.util.logging messages to custom log files using log4j.xml",3
"Ant",49659,"[regression] Project.getReference(key) no longer returns certain references",3
"Slide",36621,"JNDI DataSource lookup fails on Sun Java System Application Server 8.1",3
"Apache httpd-2",50814,"SSI exec not working on Windows (Apache 2.x)",3
"Apache httpd-2",39935,"AddDescription does not do literal comparisons on file extensions",3
"Ant",47642,"PumpStreamHandler can interleave I/O in incorrect order",3
"Apache httpd-2",56943,"mod_proxy_connect - AH02447: err/hup on backconn",3
"Apache httpd-2",53016,"missing apr_brigade_destroy",3
"Apache httpd-2",59760,"Include and install systemd service",3
"Apache httpd-2",52304,"<Limit> Does Not Apply When URI Is Folder",3
"Apache httpd-2",50155,"httpd -s attempts to read SSL certificates",3
"Apache httpd-2",53284,"crash",3
"POI",58229,"Not able to create vertical elbow connector",3
"Apache httpd-2",50051,"Log PID in first entry logged for each request",3
"Lenya",42874,"[Default Pub] news doctype does not show external rss feed",3
"Ant",41280,"APT Task doesn't fail if forked process dies with an OutOfMemoryException",3
"Ant",42544,"cannot have multiple input tasks with command line redirection",3
"Apache httpd-2",50344,"ProxyPass does not handle different protocols when receiving 301 from backend",3
"APR",48084,"Erasing HTTPD library global variables before reinitialize server",3
"Fop - Now in Jira",49263,"[PATCH] NativeTextHandler ignores AWT Font AffineTransform",3
"Apache httpd-2",56152,"ProxyBlock does not accept network addresses",3
"Apache httpd-2",42182,"Mime types for cached proxied content",3
"JMeter",59633,"""Save As"" Function does not change to new saved file name",3
"Apache httpd-2",52644,"document how SSL FakeBasicAuth works with strange characters in DNs and with groupfiles",3
"Apache httpd-2",53595,"Media type qs parameters for MultiViews sent in Content-Type",3
"Batik - Now in Jira",47555,"Bottom part of files transparent at small sizes",3
"Tomcat Native",55113,"FIPS-compatible OpenSSL fails fingerprint test in TCNative with FIPS mode on",3
"JMeter",56538,"Mail reader sampler: ""Aggregate Report"" returns random POP statistics",3
"Apache httpd-2",55919,"EPREFIX and dynamic modules",3
"Fop - Now in Jira",35939,"[PATCH] Port of 0.20.5 Driver.java class",3
"APR",56944,"Prevent endless loop on pool cleanup",3
"Apache httpd-2",42082,"filter_init is called multiple times after an INCLUDES filter",3
"Batik - Now in Jira",54201,"Seed 514 produces bad results",3
"Ant",38082,"SCP Task password with special characters",3
"Apache httpd-2",46963,"KeepAliveTimout prevents child process from exiting cleanly with winnt_mpm",3
"Apache httpd-2",53193,"SLVerifyClient optional_no_ca + SSLSessionCache = wrong SSL_CLIENT_VERIFY",3
"POI",56377,"Autosize columns with custom date format (yyyy-MM-dd HH:mm:ss GMT) gets wrong width",3
"Apache httpd-2",57087,"mod_proxy_fcgi doesn't send cgi CONTENT_LENGTH variable when the client request used Transfer-Encoding:chunked",3
"Apache httpd-2",52132,"[PATCH] process activity score calculated incorrectly if time changes",3
"JMeter",60149,"Report / Dashboard : If granularity is below 1 sec, the Throughput graphs will be incorrect",3
"Ant",56544,"OutOfMemory error due to console logging",3
"Lenya",38924,"WebDAV module:  Error checking in files with Dreamweaver",3
"Ant",52681,"User doesn't see what's typed until enter is pressed on System.in for forked java task",3
"BCEL - Now in Jira",42612,"accessing full signatures of local variables that contain generics",3
"Apache httpd-2",58235,"Ability to allow from domain but with using forward DNS query only",3
"Log4j - Now in Jira",41006,"Contributing XMLSocketHubReceiver",3
"Tomcat 6",51513,"GzipInterceptor: Do not compress small packages",3
"Apache httpd-2",52301,"Error message ""RSA server certificate ... CN ... does NOT match server name"" should give the server name",3
"Ant",55154,"Allow new properties to be defined in <propertyset>",3
"Ant",45819,"[FilterSet] allow inclusion / exclusion patterns on filterset",3
"Tomcat 6",48358,"JSP-unloading reloaded",3
"POI",51971,"Writing custom properties doesn't work for DOCX and XLSX formats.",3
"Tomcat 8",55770,"Allow the crlFile to be reloaded",3
"Apache httpd-2",55021,"Support arbitrary sql to authentication username/password",3
"Tomcat 8",57421,"Farming default directories",3
"JMeter",57545,"Failed samples and aggregate report",3
"JMeter",52962,"Allow sorting by column for aggregate and summary report",3
"Apache httpd-2",57300,"mod_session_dbd should not save the session at each request",3
"POI",58032,"Better handling of errors when evaluating formulas",3
"Tomcat 9",58548,"support certifcate transparency",3
"POI",59663,"Please make READING a workbook thread safe",3
"Ant",45807,"Ant and optional libs as OSGi Bundles",3
"Batik - Now in Jira",45598,"Example SVG Stroke Font",3
"Tomcat Connectors",57407,"Make session_cookie, session_path and session_cookie_path manageable by the status worker",3
"JMeter",43381,"view results tree grouping results per threadgroup",3
"Log4j - Now in Jira",46100,"NagiosAppender available for contribution",3
"Lenya",43280,"Allow for change in user names",3
"Xerces-J",20471,"SAXParseException derivation-ok-restriction.2.2 when using XMLSchema restriction",3
"Fop - Now in Jira",47145,"Using keep-together.within-column and break-after results in missing text",3
"Slide",21598,"FileContentStore.retrieveRevisionContent() shouldn't lock the file that causes file not being deleted in removeRevisionContent()",3
"Fop - Now in Jira",50892,"Memory leak / Invalid PageViewports stored in IDTracker",3
"Fop - Now in Jira",41918,"Thin Lines in AWTRenderer are not drawn",3
"Crimson",11847,"Parsing error with UTF8 files created with Microsoft Notepad 2000. The parser does not recognize a 3 byte BOM sign at the beginning of the file.",3
"Fop - Now in Jira",51052,"NullPointerException with retrieve marker",3
"Xerces-J",1064,"sax parser stores the whole xml file in a variable",3
"Crimson",9495,"Not all element characters being picked up by characters()",3
"Slide",19419,"WebdavResource.java does not release connections",3
"Apache httpd-2",26446,"flush buckets followed by eos bucket emit multiple last-chunks",3
"Xerces-J",1013,"not really a bug, but unexpected, undocumented beaviour !",3
"Xerces-J",4680,"Duplicate attribute and undecalred element warnings are not provided",3
"Ant",59114,"Inconsistency in Copy Task with empty FileSet depending on ""exclude"" pattern",3
"Fop - Now in Jira",46315,"fox:needs-balancing extension",3
"Ant",8972,"allow property expansion in <filterset> property values",3
"Log4j - Now in Jira",31179,"Implement Chainsaw as Eclipse stand-alone application.",3
"Slide",31695,"access to the URI of a locked resource in LockEvent ",3
"Apache httpd-2",23330,"Enhance ApacheMonitor to view and control Tomcat services",3
"Ant",16427,"Output return value of setLastModified/document behaviour",3
"Fop - Now in Jira",53089,"Hyphenation of Uppercase Words, Combined with Underlines",3
"Ant",31235,"split junit-showoutput-tag in stdout/stderr",3
"Apache httpd-2",31712,"config_file is NULL at ap_walk_config etc",3
"Slide",30257,"Slide support for Max DB",3
"Ant",23869,"Add FTP prune capability",3
"Ant",14320,"copy fileset followsymlinks=""false"" does not copy symlinks at all",3
"Ant",29085,"Timestamps in jar-Manifest",3
"XalanJ1",1350,"XSLProcessorException thrown in Multi-threaded environment",4
"Batik - Now in Jira",44720,"WMFTranscoder Renders WMF File With Artificacts",4
"Apache httpd-2",57073,"Intermittent Connection Issues using default httpd.conf configuration",4
"Apache httpd-2",55828,"Httpd not start if use ProxyPass balancer://",4
"Batik - Now in Jira",37789,"Problems whem printing svg images",4
"Security - Now in JIRA",48335,"java.security.InvalidKeyException: Wrong format: RAW bytes needed",4
"Tomcat Native",57140,"tcnative-1.dll 1.1.31 indicated in fatal error",4
"Apache httpd-2",58964,"Problems when caching more than one SSI level",4
"Apache httpd-2",42923,"vhost certificate NOT overriding cert from the _default:443_ vhost",4
"Log4j - Now in Jira",50614,"Lock in CallAppenders causing all Thread to wait forever",4
"Apache httpd-2",37920,"mod_proxy does not flush data on POST requests from client",4
"Batik - Now in Jira",46757,"WMF Transcoding problems with positioning of elements",4
"BCEL - Now in Jira",51661,"Add support for INVOKEDYNAMIC and MethodHandles, et. al.",4
"Tomcat Native",58194,"Tomcat crash EXCEPTION_ACCESS_VIOLATION in tcnative-1.dll",4
"Batik - Now in Jira",46863,"DeflaterOutputStream not closed, causes OutOfMemoryError",4
"APR",42682,"Apache child terminates with signal 11 when using Sun LDAP with SSL",4
"Apache httpd-2",54782,"Memory Corruption errors - mpm_worker mod_perl",4
"APR",51560,"apr_stat for APR_FINFO_NORM using GetEffectiveRightsFromAcl does not work in complex Active Directory forest",4
"Apache httpd-2",50945,"AJP: Missing support for ErrorOverride",4
"BCEL - Now in Jira",42552,"Thread safety + unbuffered writes",4
"APR",59725,"linker error: precompiled object not linked in",4
"Batik - Now in Jira",43193,"end marker is rotated 90",4
"Apache httpd-2",39370,"SSL session will be removed if the client is sending close_notify",4
"Log4j - Now in Jira",55499,"Log file is exceeding the limit MaxFileSize",4
"JMeter",58807,"https.use.cached.ssl.context=false is broken",4
"Apache httpd-2",40540,"Bad interaction between MultiViews and SetOutputFilter",4
"Apache httpd-2",49643,"WebDav plus mod Negotiation causes directory creation errors",4
"Log4j - Now in Jira",45231,"Clear appenders call on logger calls a helper which calls close on the appenders",4
"Ant",37897,"ftp task very slow when depends=yes",4
"APR",56520,"Unchecked Return Value malloc() in win32 timestr on WINDOWS platform",4
"Apache httpd-2",42977,"DAV locking is busted when apr-util is built with gdbm",4
"Ant",51985,"System.out.print is adding an extra line feed when flushed as a result of a System.in.readLine() call",4
"Tomcat Modules",56790,"Resizing pool.maxActive to a higher value at runtime leads to unmanaged connections",4
"Lenya",54493,"Manage sitemap and role patches",4
"Apache httpd-2",52439,"It should be possible to treat errors in .htaccess as nonfatal",4
"Ant",49266,"ant does not work with empty CLASSPATH",4
"Apache httpd-2",54869,"Non-breaking space characters cause httpd to choke",4
"Lenya",50301,"firedocs 1.3.7 -very long loading time with large sitetree",4
"Apache httpd-2",53981,"move def of log_request_state from mod_log_config.c to mod_log_config.h",4
"Apache httpd-2",39692,"mod_proxy_balancer doesn't retry a failed request",4
"Lenya",47513,"Link to the download page  dosen't work with Safari 4.0.2",4
"POI",51604,"replace text fails for doc ( poi 3.8 beta release from download site )",4
"Log4j - Now in Jira",50164,"getAppender method in Logger class doesn't return inherited appenders when using a configuration file",4
"Log4j - Now in Jira",50213,"Category callAppenders synchronization causes java.lang.Thread.State: BLOCKED - synchronization can be avoided by using immutable AppenderAttachableImpl",4
"Log4j - Now in Jira",34738,"Chainsaw does not remember what Columns are selected",4
"Tomcat 7",59710,"java.io.IOException: Connection timed out",4
"Tomcat Native",55938,"clang-analyzer report for 1.1.31",4
"Apache httpd-2",42972,"Certificate list in mod_ssl module context are not sorted, causes segfault",4
"Log4j - Now in Jira",52133,"Logging of configuration URLs/Paths on log4j configuration",4
"Apache httpd-2",56933,"not sure it's an appache bug : some browser want to get file/directory replacing mine with a dot",4
"POI",55814,"Comments are not cloned properly by XSSFWorkbook.cloneSheet(...)",4
"POI",54833,"The XSSF-implementation of the DataValidation-interface method setSuppressDropDownArrow is wrong",4
"Apache httpd-2",59040,"SSILegacyExprParser directive defined as OR_LIMIT, but documented as nothing",4
"Apache httpd-2",57660,"AB - free memory allocated by xmalloc and xcalloc",4
"Ant",32975,"Make XmlFormatter for junittask (optinally) lighter",4
"JMeter",59952,"Expose DNS and SSL Handshake time",4
"Apache httpd-2",53594,"ipad as webserver",4
"POI",50750,"Support MS OneNote file format",4
"Ant",58916,"Add a ""default"" column to the attribute tables in all tasks",4
"APR",44129,"apr_os_dir_put() does not allocate an entry buffer and fails in apr_stat() due to missing dirname",4
"APR",41351,"Tivoli LDAP SDK support in aprutil",4
"Apache httpd-2",55883,"string callers of ap_expr should be able to transform expr with regexes",4
"Ant",50749,"<script> should unwrap ScriptException when reporting errors to the user",4
"JMeter",45258,"Child sample handling by Assertions and Post-Processors",4
"Ant",46794,"ssl with ftp",4
"Apache httpd-2",59979,"[patch] Add log message when ap_save_brigade fails",4
"JMeter",59941,"Paste-button should be disabled , if nothing were copied. Also cut, copy buttons should be disabled when there is nothing to copy or cut.",4
"Ant",45228,"more specific Error Starting Modern Compiler message",4
